week_start_monday,period_start,period_end,week_label,cs,funnel,view_scope,date_basis,inquiries,bookings,net_booking_amount,conversion_rate,converted_inquiries,unique_inquiry_conversion_rate,canonical_bookings,recovered_bookings
"Jul 20, 2026",2026-07-20,2026-07-26,Jul 20-26,Taira,Chatbot Handoffs,non-additive handoff-origin overlay,inquiry date,188,7,"PHP 138,212.78",3.72%,7,3.72%,6,1
"Jul 20, 2026",2026-07-20,2026-07-26,Jul 20-26,Taira,Sunday Experiment Handoffs,non-additive handoff-origin overlay,inquiry date,46,5,"PHP 71,180.19",10.87%,5,10.87%,5,0
"Jul 20, 2026",2026-07-20,2026-07-26,Jul 20-26,Rolyn,Mixed with Chatbot,operating funnel,inquiry date,441,7,"PHP 158,641.61",1.59%,7,1.59%,7,0
"Jul 20, 2026",2026-07-20,2026-07-26,Jul 20-26,Rolyn,Pure CS Only,operating funnel,inquiry date,205,2,"PHP 19,720.53",0.98%,2,0.98%,2,0
"Jul 20, 2026",2026-07-20,2026-07-26,Jul 20-26,Rolyn,Calls,operating funnel,booking date,,2,"PHP 65,408.22",,,,0,0
"Jul 20, 2026",2026-07-20,2026-07-26,Jul 20-26,Aira,Pure CS Only,operating funnel,inquiry date,670,5,"PHP 135,475.90",0.75%,5,0.75%,5,0
"Jul 20, 2026",2026-07-20,2026-07-26,Jul 20-26,Aira,Calls,operating funnel,booking date,,2,"PHP 23,410.71",,,,0,0
"Jul 20, 2026",2026-07-20,2026-07-26,Jul 20-26,Remy,Pure CS Only,operating funnel,inquiry date,668,4,"PHP 69,062.41",0.60%,4,0.60%,4,0
"Jul 20, 2026",2026-07-20,2026-07-26,Jul 20-26,Remy,Chatbot Handoff,operating funnel,inquiry date,0,0,PHP 0.00,0.00%,0,0.00%,0,0
"Jul 20, 2026",2026-07-20,2026-07-26,Jul 20-26,Remy,Calls,operating funnel,booking date,,0,PHP 0.00,,,,0,0
"Jul 20, 2026",2026-07-20,2026-07-26,Jul 20-26,Sarah,Chatbot Handoff + Sarah Closing,operating funnel,inquiry date,234,12,"PHP 209,392.97",5.13%,12,5.13%,11,1
"Jul 20, 2026",2026-07-20,2026-07-26,Jul 20-26,Sarah,Mixed,operating funnel,inquiry date,464,3,"PHP 72,616.97",0.65%,3,0.65%,3,0
"Jul 20, 2026",2026-07-20,2026-07-26,Jul 20-26,Sarah,Calls,operating funnel,booking date,,4,"PHP 130,785.71",,,,0,0
"Jul 27, 2026",2026-07-27,2026-07-31,Jul 27-31,Taira,Chatbot Handoffs,non-additive handoff-origin overlay,inquiry date,108,5,"PHP 147,727.68",4.63%,5,4.63%,5,0
"Jul 27, 2026",2026-07-27,2026-07-31,Jul 27-31,Taira,Sunday Experiment Handoffs,non-additive handoff-origin overlay,inquiry date,0,0,PHP 0.00,0.00%,0,0.00%,0,0
"Jul 27, 2026",2026-07-27,2026-07-31,Jul 27-31,Rolyn,Mixed with Chatbot,operating funnel,inquiry date,316,3,"PHP 64,626.52",0.95%,3,0.95%,3,0
"Jul 27, 2026",2026-07-27,2026-07-31,Jul 27-31,Rolyn,Pure CS Only,operating funnel,inquiry date,185,2,"PHP 54,892.86",1.08%,2,1.08%,2,0
"Jul 27, 2026",2026-07-27,2026-07-31,Jul 27-31,Rolyn,Calls,operating funnel,booking date,,0,PHP 0.00,,,,0,0
"Jul 27, 2026",2026-07-27,2026-07-31,Jul 27-31,Aira,Pure CS Only,operating funnel,inquiry date,496,4,"PHP 105,874.47",0.81%,4,0.81%,4,0
"Jul 27, 2026",2026-07-27,2026-07-31,Jul 27-31,Aira,Calls,operating funnel,booking date,,0,PHP 0.00,,,,0,0
"Jul 27, 2026",2026-07-27,2026-07-31,Jul 27-31,Remy,Pure CS Only,operating funnel,inquiry date,495,7,"PHP 171,806.78",1.41%,7,1.41%,7,0
"Jul 27, 2026",2026-07-27,2026-07-31,Jul 27-31,Remy,Chatbot Handoff,operating funnel,inquiry date,0,0,PHP 0.00,0.00%,0,0.00%,0,0
"Jul 27, 2026",2026-07-27,2026-07-31,Jul 27-31,Remy,Calls,operating funnel,booking date,,0,PHP 0.00,,,,0,0
"Jul 27, 2026",2026-07-27,2026-07-31,Jul 27-31,Sarah,Chatbot Handoff + Sarah Closing,operating funnel,inquiry date,108,5,"PHP 147,727.68",4.63%,5,4.63%,5,0
"Jul 27, 2026",2026-07-27,2026-07-31,Jul 27-31,Sarah,Mixed,operating funnel,inquiry date,381,4,"PHP 61,842.59",1.05%,4,1.05%,4,0
"Jul 27, 2026",2026-07-27,2026-07-31,Jul 27-31,Sarah,Calls,operating funnel,booking date,,1,"PHP 53,571.43",,,,0,0
